"id","tag_name","tag_description","tag_type","status","seq_no","updated_at"
"1","BBQ","Cooked on the barbie","cuisine","active","1","2026-04-19 14:09:45.549079"
"2","Mexican","Includes Tex-Mex","cuisine","active","2","2026-04-19 14:14:10.936624"
"3","Italian","Pasta, Pizza","cuisine","active","3","2026-04-19 14:15:09.408573"
"4","Oriental","Japanese, Chinese, Thai","cuisine","active","4","2026-04-19 14:15:43.667124"
"5","Breakfast","The most important meal","meal_time","active","1","2026-04-19 14:17:01.360332"
"6","Lunch","Mid-day repast","meal_time","active","2","2026-04-19 14:17:36.070166"
"7","Brunch","Tweener recipes","meal_time","active","3","2026-04-19 14:18:25.736962"
"8","Dinner","Or supper if you prefer","meal_time","active","4","2026-04-19 14:19:12.945018"
"9","Soups","Everyone's favorite","course_type","active","1","2026-04-19 14:20:10.974563"
"10","Salads","From the produce aisle","course_type","active","2","2026-04-19 14:21:43.192939"
"11","Main Dishes","Main entrees","sourse_type","active","3","2026-04-19 14:22:42.270577"
"12","Side Dish","You know, on the side","course_type","active","4","2026-04-19 14:23:31.849822"
"13","Desserts","Start a meal with one of these","course_type","active","5","2026-04-19 14:24:26.475489"
"14","Slow Cooker","AKA crockpot, InstantPot","cooking_method","active","1","2026-04-19 14:25:15.187251"
"15","Grilled","Inside or outside, involves fire","cooking_method","active","2","2026-04-19 14:26:17.724761"
"16","Sheet Pan","Used for many cooks","cooking_method","active","3","2026-04-19 14:28:06.365294"
"17","Air Fryer","You're still using one?","cooking_method","active","4","2026-04-19 14:29:12.014004"
"18","Instant Pot","Good for many uses","cooking_method","active","5","2026-04-19 14:30:24.795665"
"19","Indian","South Asia cuisine","cuisine","active","5","2026-04-19 15:09:51.919016"
"20","Appetizers","Pre-meal goodies","course_type","active","6","2026-04-19 15:12:28.234226"
"21","Vegan","Really?","dietary","active","1","2026-04-19 15:14:17.402717"
"22","Glutten-free","No gluttens","dietary","active","2","2026-04-19 15:15:27.108382"
"23","Low-Carb","Restricted carbohydarates","dietary","active","3","2026-04-19 15:16:23.831186"
"24","High-Protein","Now you're talking","dietary","active","4","2026-04-19 15:17:03.917006"
